sub,time,trial,stim1,stim2,decision,RT_decision,val1,RT_val1,conf1,RT_conf1,val2,RT_val2,conf2,RT_conf2,conf_decision,RT_conf_decision
100,1678836935673,1,-80,-20,2,5.992,,,,,,,,,,
100,1678836941281,2,-80,-50,2,2.22,,,,,,,,,,
100,1678836947322,3,-20,-50,1,1.715,,,,,,,,,,
100,1678836966843,4,-20,-80,1,1.296,8.0,3.461,10.0,1.353,2.0,2.704,10.0,1.439,5.0,4.559
100,1678836981764,5,-50,-80,1,1.058,5.0,3.904,10.0,1.444,2.0,1.463,10.0,0.904,5.0,2.001
100,1678836995502,6,-50,-20,2,0.944,5.0,2.057,10.0,1.189,8.0,2.079,10.0,1.242,5.0,2.081
100,1678837000393,7,20,-20,1,1.35,,,,,,,,,,
100,1678837005518,8,-80,80,2,1.186,,,,,,,,,,
100,1678837010977,9,80,-50,1,1.536,,,,,,,,,,
100,1678837016443,10,-20,80,2,1.865,,,,,,,,,,
100,1678837022372,11,-20,50,2,2.071,,,,,,,,,,
100,1678837028481,12,-80,20,2,2.155,,,,,,,,,,
100,1678837033493,13,-80,50,2,1.544,,,,,,,,,,
100,1678837039272,14,-50,50,2,2.092,,,,,,,,,,
100,1678837044756,15,-50,20,2,1.518,,,,,,,,,,
100,1678837061890,16,50,-20,1,1.497,16.0,3.408,8.0,2.276,8.0,2.25,10.0,1.392,10.0,1.863
100,1678837079819,17,20,-80,1,1.135,12.0,2.828,10.0,1.263,2.0,2.691,10.0,3.307,10.0,1.956
100,1678837100094,18,50,-50,1,0.727,16.0,7.354,10.0,1.665,4.0,2.794,10.0,1.512,10.0,1.639
100,1678837115752,19,-50,80,2,0.626,5.0,2.045,10.0,2.215,18.0,3.68,10.0,1.412,10.0,1.008
100,1678837129198,20,80,-80,1,0.805,18.0,2.753,10.0,1.244,2.0,2.633,10.0,0.922,10.0,1.17
100,1678837146940,21,20,-50,1,0.853,12.0,3.916,10.0,1.803,5.0,3.477,10.0,1.306,10.0,1.895
100,1678837164144,22,80,-20,1,0.531,18.0,6.17,10.0,1.184,8.0,1.795,10.0,1.114,10.0,1.924
100,1678837177078,23,-20,20,2,0.643,8.0,1.706,10.0,1.898,12.0,1.985,10.0,1.003,10.0,1.105
100,1678837191332,24,50,-80,1,0.774,16.0,2.908,10.0,1.455,2.0,1.495,10.0,2.303,10.0,1.551
100,1678837197744,25,20,80,2,2.214,,,,,,,,,,
100,1678837203661,26,80,50,1,1.576,,,,,,,,,,
100,1678837208965,27,20,50,2,1.704,,,,,,,,,,
100,1678837222486,28,80,20,1,0.897,18.0,2.671,10.0,1.338,12.0,1.8,10.0,1.178,10.0,1.043
100,1678837237665,29,50,20,1,0.778,15.0,4.42,10.0,0.994,12.0,1.287,10.0,1.302,10.0,1.666
100,1678837250269,30,50,80,2,0.608,15.0,2.137,10.0,1.299,18.0,1.651,10.0,1.493,10.0,0.998
101,1678837379182,1,-50,-80,1,4.002,,,,,,,,,,
101,1678837388125,2,-20,-80,1,3.478,,,,,,,,,,
101,1678837398133,3,-50,-20,2,2.004,,,,,,,,,,
101,1678837426359,4,-20,-50,1,1.209,8.0,4.244,7.0,3.748,6.0,4.585,7.0,1.645,9.0,4.993
101,1678837448857,5,-80,-50,2,1.355,2.0,2.954,8.0,2.738,6.0,3.522,8.0,1.58,10.0,3.703
101,1678837469774,6,-80,-20,2,1.712,2.0,3.256,7.0,2.566,8.0,2.702,8.0,1.94,10.0,2.094
101,1678837479217,7,-50,80,2,2.325,,,,,,,,,,
101,1678837489208,8,50,-50,1,2.601,,,,,,,,,,
101,1678837500183,9,-20,50,2,3.331,,,,,,,,,,
101,1678837508109,10,-80,50,2,1.734,,,,,,,,,,
101,1678837517585,11,80,-20,1,1.734,,,,,,,,,,
