sub,cohort,time,trial,trial_type,mean_stim,actual_stim,val,RT_val,conf,RT_conf,rank
100,1,1678836277905,4,reward,50,50,80.0,7.463,7.0,1.172,1.0
100,1,1678836321245,10,reward,50,40,10.0,3.52,8.0,1.92,2.0
100,1,1678836353117,16,reward,50,60,30.0,2.418,10.0,1.4,3.0
100,1,1678836395547,23,reward,50,70,30.0,2.224,3.0,1.471,4.0
100,1,1678836431167,30,reward,50,60,40.0,3.173,5.0,1.76,5.0
100,1,1678836447142,34,reward,50,50,40.0,2.184,10.0,1.005,6.0
100,1,1678836488376,41,reward,50,30,10.0,2.502,9.0,1.077,7.0
100,1,1678836518934,47,reward,50,50,30.0,2.316,5.0,1.179,8.0
100,1,1678836546931,52,reward,50,40,50.0,2.361,5.0,2.377,9.0
100,1,1678836575936,58,reward,50,50,50.0,3.838,8.0,1.147,10.0
101,1,1678836892232,5,reward,50,60,-60.0,4.679,8.0,2.258,1.0
101,1,1678836931949,10,reward,50,70,-80.0,3.054,8.0,3.059,2.0
101,1,1678837006555,18,reward,50,50,-50.0,3.678,8.0,1.494,3.0
101,1,1678837053766,24,reward,50,40,-50.0,2.131,8.0,1.861,4.0
101,1,1678837103792,30,reward,50,60,-40.0,2.044,8.0,1.629,5.0
101,1,1678837147490,35,reward,50,60,-60.0,2.13,7.0,2.492,6.0
101,1,1678837207690,42,reward,50,50,-60.0,1.931,7.0,2.053,7.0
101,1,1678837255783,48,reward,50,50,-70.0,2.002,7.0,2.093,8.0
101,1,1678837280263,52,reward,50,70,-50.0,2.595,7.0,1.631,9.0
101,1,1678837336983,59,reward,50,60,-50.0,2.17,8.0,1.784,10.0
102,1,1678842455080,4,reward,50,30,50.0,3.256,10.0,2.456,1.0
102,1,1678842530291,12,reward,50,50,50.0,2.526,8.0,1.245,2.0
102,1,1678842560444,16,reward,50,40,40.0,2.46,8.0,2.131,3.0
102,1,1678842641405,24,reward,50,50,60.0,4.914,7.0,2.048,4.0
102,1,1678842695478,30,reward,50,70,50.0,3.442,7.0,1.395,5.0
102,1,1678842724816,34,reward,50,30,40.0,3.242,7.0,1.579,6.0
102,1,1678842799323,42,reward,50,50,50.0,2.778,6.0,2.341,7.0
102,1,1678842823126,46,reward,50,60,60.0,3.267,6.0,1.178,8.0
102,1,1678842876617,53,reward,50,70,60.0,3.195,5.0,0.978,9.0
102,1,1678842925189,59,reward,50,50,40.0,2.687,7.0,1.314,10.0
239,2,1684378824783,3,reward,50,60,30.0,4.17,9.0,1.449,1.0
239,2,1684378835249,4,reward,50,50,60.0,2.143,9.0,1.743,2.0
239,2,1684378880564,10,reward,50,70,70.0,2.172,9.0,1.3,3.0
239,2,1684378932327,16,reward,50,30,60.0,1.642,9.0,1.853,4.0
239,2,1684378990324,23,reward,50,40,60.0,2.569,9.0,1.249,5.0
239,2,1684379036188,29,reward,50,50,50.0,2.763,9.0,0.97,6.0
239,2,1684379079070,34,reward,50,40,50.0,2.691,8.0,1.787,7.0
239,2,1684379134451,40,reward,50,60,60.0,2.568,8.0,1.389,8.0
239,2,1684379218312,48,reward,50,40,70.0,3.661,8.0,2.852,9.0
239,2,1684379267611,54,reward,50,60,60.0,3.583,9.0,2.047,10.0
239,2,1684379295343,58,reward,50,50,60.0,3.939,8.0,2.507,11.0
240,2,1684379037943,1,reward,50,30,100.0,3.585,4.0,4.695,1.0
240,2,1684379108843,6,reward,50,50,50.0,3.372,4.0,3.461,2.0
240,2,1684379138795,10,reward,50,50,20.0,3.534,4.0,3.725,3.0
240,2,1684379222895,18,reward,50,40,100.0,3.275,7.0,2.002,4.0
240,2,1684379266128,23,reward,50,70,60.0,4.037,3.0,2.266,5.0
240,2,1684379338012,30,reward,50,60,100.0,3.806,1.0,2.308,6.0
240,2,1684379389527,34,reward,50,30,60.0,6.386,6.0,4.077,7.0
240,2,1684379586244,41,reward,50,50,40.0,3.841,6.0,2.99,8.0
240,2,1684379663962,47,reward,50,70,100.0,3.558,0.0,2.089,9.0
240,2,1684379747846,54,reward,50,60,100.0,4.089,5.0,6.498,10.0
240,2,1684379776195,58,reward,50,60,100.0,4.573,7.0,3.206,11.0
241,2,1684379214372,3,reward,50,30,20.0,2.641,8.0,1.621,1.0
241,2,1684379237107,5,reward,50,40,30.0,2.865,7.0,2.258,2.0
241,2,1684379277499,10,reward,50,50,30.0,4.211,7.0,2.591,3.0
241,2,1684379343576,17,reward,50,50,30.0,2.043,9.0,3.345,4.0
241,2,1684379401690,24,reward,50,60,30.0,2.415,9.0,1.87,5.0
241,2,1684379444480,29,reward,50,60,90.0,3.628,9.0,2.618,6.0
241,2,1684379507475,35,reward,50,60,50.0,5.37,5.0,2.576,7.0
241,2,1684379570170,42,reward,50,50,0.0,2.297,5.0,2.201,8.0
241,2,1684379606313,47,reward,50,50,60.0,2.607,8.0,2.187,9.0
241,2,1684379644474,52,reward,50,70,60.0,2.63,8.0,3.735,10.0
241,2,1684379692144,58,reward,50,30,60.0,2.531,8.0,2.384,11.0
242,2,1684378405037,2,reward,50,50,60.0,2.434,2.0,10.111,1.0
242,2,1684378460342,5,reward,50,50,50.0,3.552,2.0,2.786,2.0
242,2,1684378524829,11,reward,50,50,30.0,5.437,5.0,1.594,3.0
242,2,1684378586100,16,reward,50,60,50.0,6.462,3.0,7.182,4.0
242,2,1684378674948,23,reward,50,50,50.0,8.267,3.0,1.673,5.0
242,2,1684378721738,28,reward,50,40,50.0,3.637,4.0,1.5,6.0
242,2,1684378802055,34,reward,50,50,50.0,3.899,3.0,9.927,7.0
242,2,1684378884521,40,reward,50,60,70.0,4.066,5.0,1.359,8.0
242,2,1684378983235,48,reward,50,50,70.0,6.327,8.0,4.082,9.0
242,2,1684379054237,52,reward,50,40,60.0,22.882,4.0,1.154,10.0
242,2,1684379127488,59,reward,50,30,50.0,6.639,2.0,1.103,11.0
243,2,1684378400003,1,reward,50,60,40.0,6.768,5.0,6.834,1.0
243,2,1684378490531,5,reward,50,50,80.0,4.914,7.0,3.031,2.0
243,2,1684378587172,11,reward,50,60,40.0,12.017,7.0,8.098,3.0
243,2,1684378671401,18,reward,50,70,60.0,4.557,5.0,3.259,4.0
243,2,1684378751415,24,reward,50,30,40.0,12.493,6.0,4.599,5.0
243,2,1684378799260,29,reward,50,40,60.0,4.303,7.0,3.637,6.0
243,2,1684378875544,35,reward,50,50,40.0,7.395,6.0,2.938,7.0
243,2,1684378969503,42,reward,50,40,60.0,4.005,7.0,3.285,8.0
243,2,1684379039272,47,reward,50,60,90.0,10.782,5.0,4.047,9.0
243,2,1684379103376,53,reward,50,50,60.0,4.644,8.0,8.963,10.0
243,2,1684379167249,59,reward,50,40,60.0,4.992,3.0,3.459,11.0
244,2,1684379198619,1,reward,50,50,50.0,2.074,8.0,4.847,1.0
244,2,1684379270743,4,reward,50,70,70.0,4.789,9.0,1.286,2.0
244,2,1684379298503,10,reward,50,50,50.0,2.031,8.0,0.781,3.0
244,2,1684379349530,18,reward,50,40,50.0,1.461,1.0,1.173,4.0
244,2,1684379364313,22,reward,50,60,40.0,1.725,10.0,1.147,5.0
244,2,1684379396301,28,reward,50,30,20.0,2.604,0.0,0.89,6.0
244,2,1684379451251,35,reward,50,70,40.0,1.317,10.0,0.661,7.0
244,2,1684379486652,42,reward,50,50,20.0,1.116,9.0,1.624,8.0
244,2,1684379516184,47,reward,50,30,70.0,1.433,9.0,0.811,9.0
244,2,1684379543325,53,reward,50,40,40.0,1.769,10.0,0.817,10.0
244,2,1684379576689,60,reward,50,50,60.0,2.305,9.0,0.761,11.0
246,2,1684378407704,1,reward,50,60,100.0,3.753,6.0,2.538,1.0
246,2,1684378444492,4,reward,50,50,60.0,3.112,6.0,1.194,2.0
246,2,1684378494005,10,reward,50,50,80.0,3.186,5.0,1.428,3.0
246,2,1684378573241,18,reward,50,60,80.0,3.195,5.0,3.823,4.0
246,2,1684378600114,22,reward,50,40,80.0,2.671,7.0,1.586,5.0
246,2,1684378646563,28,reward,50,30,100.0,2.933,7.0,2.214,6.0
246,2,1684378702792,34,reward,50,50,20.0,2.066,7.0,1.561,7.0
246,2,1684378768800,41,reward,50,60,0.0,2.308,4.0,1.164,8.0
246,2,1684378828127,48,reward,50,60,40.0,1.874,4.0,2.297,9.0
246,2,1684378853368,52,reward,50,30,50.0,3.488,5.0,1.137,10.0
246,2,1684378901066,58,reward,50,50,40.0,3.019,4.0,2.367,11.0
247,2,1684378805371,3,reward,50,60,60.0,1.647,7.0,1.306,1.0
247,2,1684378831723,6,reward,50,50,80.0,3.959,8.0,1.919,2.0
247,2,1684378846883,10,reward,50,50,60.0,2.549,5.0,1.002,3.0
247,2,1684378878559,16,reward,50,70,40.0,1.965,5.0,1.034,4.0
247,2,1684378906349,22,reward,50,40,60.0,1.933,7.0,0.966,5.0
247,2,1684378947270,29,reward,50,60,40.0,3.62,8.0,1.756,6.0
247,2,1684378985801,36,reward,50,50,50.0,2.872,8.0,0.897,7.0
247,2,1684379008816,41,reward,50,70,60.0,1.594,9.0,2.203,8.0
247,2,1684379030712,46,reward,50,60,50.0,1.787,6.0,1.33,9.0
247,2,1684379061179,52,reward,50,50,60.0,1.393,9.0,0.912,10.0
247,2,1684379095363,59,reward,50,30,60.0,3.089,8.0,1.135,11.0
248,2,1684378470835,3,reward,50,60,60.0,2.241,7.0,1.626,1.0
248,2,1684378487536,5,reward,50,60,40.0,3.322,8.0,1.702,2.0
248,2,1684378521731,11,reward,50,50,60.0,2.722,10.0,1.28,3.0
248,2,1684378563315,17,reward,50,50,50.0,3.344,7.0,1.298,4.0
248,2,1684378601239,23,reward,50,40,60.0,4.519,8.0,1.555,5.0
248,2,1684378635587,29,reward,50,30,40.0,6.835,5.0,3.981,6.0
248,2,1684378688935,35,reward,50,70,60.0,2.242,6.0,3.387,7.0
248,2,1684378729366,42,reward,50,50,60.0,2.908,6.0,2.547,8.0
248,2,1684378765464,47,reward,50,40,40.0,5.868,6.0,3.611,9.0
248,2,1684378793301,52,reward,50,50,60.0,2.22,7.0,1.683,10.0
248,2,1684378844014,60,reward,50,30,50.0,2.839,6.0,4.006,11.0
249,2,1684379311581,2,reward,50,60,30.0,2.75,2.0,1.714,1.0
249,2,1684379356276,6,reward,50,50,40.0,2.624,2.0,1.679,2.0
249,2,1684379403988,12,reward,50,40,50.0,2.533,2.0,1.527,3.0
249,2,1684379432946,16,reward,50,50,50.0,2.104,2.0,1.854,4.0
249,2,1684379480442,22,reward,50,30,50.0,2.116,2.0,1.823,5.0
249,2,1684379539190,29,reward,50,50,30.0,2.231,2.0,2.718,6.0
