sub,mean_stim,val,conf,RT_val,RT_conf,trial
82,-80,"[-60.0, -80.0, -70.0, -60.0, -60.0, -50.0, -80.0, -30.0, -30.0, -30.0]","[4.0, 6.0, 5.0, 4.0, 5.0, 10.0, 6.0, 5.0, 3.0, 4.0]","[3.974, 1.835, 3.384, 2.082, 1.948, 1.461, 2.289, 1.955, 1.414, 1.628]","[1.774, 2.752, 1.943, 1.37, 1.15, 1.928, 1.127, 1.12, 1.101, 1.031]","[1, 4, 7, 11, 15, 16, 21, 22, 25, 28, 31, 35, 38, 41, 44, 46, 49, 54, 56, 58]"
82,-50,"[-80.0, -70.0, -30.0, -40.0, -30.0, -80.0, -40.0, -80.0, -80.0, -50.0]","[6.0, 3.0, 6.0, 7.0, 4.0, 7.0, 10.0, 7.0, 5.0, 4.0]","[6.873, 3.195, 5.172, 3.207, 1.392, 2.635, 1.614, 1.944, 29.714, 1.728]","[1.977, 2.333, 1.607, 2.134, 1.659, 1.218, 1.158, 1.793, 1.243, 1.011]","[2, 5, 8, 10, 14, 17, 20, 23, 26, 29, 32, 36, 39, 40, 43, 48, 50, 52, 57, 59]"
82,-20,"[0.0, -20.0, -20.0, -40.0, -30.0, -30.0, -40.0, 0.0, -60.0, -40.0]","[10.0, 9.0, 6.0, 5.0, 5.0, 4.0, 6.0, 5.0, 5.0, 4.0]","[1.935, 1.782, 2.053, 5.658, 1.634, 1.823, 1.549, 1.582, 1.787, 1.756]","[1.923, 1.342, 1.855, 1.337, 1.19, 0.981, 0.711, 1.375, 1.745, 1.532]","[3, 6, 9, 12, 13, 18, 19, 24, 27, 30, 33, 34, 37, 42, 45, 47, 51, 53, 55, 60]"
82,20,"[10.0, 40.0, 20.0, 50.0, 10.0, 40.0, 0.0, 10.0, 20.0, 30.0]","[5.0, 5.0, 6.0, 7.0, 6.0, 7.0, 8.0, 8.0, 10.0, 10.0]","[1.151, 2.013, 2.173, 2.267, 1.775, 2.315, 1.856, 1.94, 1.347, 1.573]","[0.687, 1.123, 0.747, 0.725, 1.853, 0.728, 1.704, 1.101, 0.946, 1.101]","[1, 6, 7, 12, 13, 16, 20, 24, 27, 29, 31, 36, 38, 41, 44, 47, 51, 52, 56, 60]"
82,50,"[10.0, 10.0, 20.0, 40.0, 60.0, 40.0, 50.0, 50.0, 40.0, 50.0]","[6.0, 6.0, 7.0, 6.0, 7.0, 7.0, 8.0, 10.0, 7.0, 10.0]","[2.984, 5.359, 2.716, 1.518, 1.426, 1.442, 1.626, 2.183, 1.339, 2.078]","[1.512, 0.961, 1.929, 0.948, 0.973, 0.996, 1.074, 1.202, 0.852, 1.204]","[2, 5, 9, 10, 15, 17, 21, 23, 25, 30, 32, 34, 39, 42, 43, 46, 49, 54, 57, 59]"
82,80,"[80.0, 30.0, 80.0, 80.0, 80.0, 30.0, 70.0, 60.0, 60.0, 80.0]","[4.0, 7.0, 8.0, 8.0, 6.0, 7.0, 6.0, 3.0, 5.0, 8.0]","[1.91, 1.534, 2.042, 1.895, 1.561, 1.487, 1.728, 1.673, 1.249, 1.415]","[1.362, 1.522, 1.387, 1.08, 0.753, 0.763, 2.046, 1.201, 1.073, 1.272]","[3, 4, 8, 11, 14, 18, 19, 22, 26, 28, 33, 35, 37, 40, 45, 48, 50, 53, 55, 58]"
84,-80,"[-30.0, -30.0, -40.0, -40.0, -40.0, -40.0, -40.0, -40.0, -60.0, -50.0]","[2.0, 6.0, 3.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0]","[1.784, 1.479, 2.603, 1.636, 1.637, 3.312, 1.582, 1.82, 1.796, 1.709]","[4.108, 4.388, 1.666, 61.246, 1.307, 1.341, 3.134, 2.238, 1.475, 1.756]","[2, 4, 8, 11, 14, 16, 19, 23, 27, 29, 32, 35, 37, 41, 43, 46, 51, 52, 56, 59]"
84,-50,"[-40.0, -30.0, -40.0, -40.0, -30.0, -30.0, -40.0, -30.0, -30.0, -30.0]","[5.0, 4.0, 4.0, 4.0, 2.0, 3.0, 3.0, 4.0, 2.0, 4.0]","[1.326, 2.299, 1.822, 1.538, 3.548, 1.741, 1.563, 3.457, 3.975, 2.246]","[1.138, 2.092, 1.415, 2.508, 7.241, 2.437, 1.712, 2.159, 4.509, 1.68]","[3, 6, 9, 10, 13, 17, 21, 22, 26, 30, 33, 36, 39, 40, 45, 47, 50, 53, 57, 58]"
84,-20,"[-20.0, 30.0, -30.0, -20.0, -30.0, -30.0, -40.0, -30.0, -40.0, -60.0]","[5.0, 5.0, 1.0, 3.0, 7.0, 4.0, 4.0, 3.0, 3.0, 4.0]","[1.466, 4.047, 1.598, 2.245, 1.541, 1.714, 3.4, 1.527, 2.213, 3.383]","[1.54, 3.895, 1.702, 1.585, 1.658, 4.518, 2.694, 3.532, 2.175, 1.584]","[1, 5, 7, 12, 15, 18, 20, 24, 25, 28, 31, 34, 38, 42, 44, 48, 49, 54, 55, 60]"
84,20,"[20.0, 10.0, 20.0, 20.0, 30.0, 10.0, 10.0, 50.0, -20.0, 40.0]","[4.0, 6.0, 6.0, 5.0, 6.0, 7.0, 4.0, 6.0, 5.0, 6.0]","[2.947, 2.388, 1.617, 4.134, 1.773, 4.185, 2.053, 2.316, 1.966, 4.398]","[2.454, 2.837, 1.281, 1.254, 2.308, 1.678, 2.29, 42.899, 2.072, 2.4]","[2, 4, 9, 10, 13, 18, 19, 22, 25, 29, 33, 36, 39, 40, 44, 48, 51, 53, 57, 58]"
84,50,"[10.0, 10.0, 10.0, 10.0, 10.0, 30.0, 10.0, 10.0, 40.0, 20.0]","[4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 4.0, 6.0, 4.0, 6.0]","[3.135, 2.027, 1.923, 1.752, 2.221, 7.56, 1.124, 1.566, 1.927, 2.517]","[3.062, 1.282, 1.373, 2.427, 1.619, 2.341, 3.081, 2.804, 2.071, 1.518]","[3, 5, 8, 12, 14, 16, 20, 24, 26, 28, 32, 34, 37, 41, 43, 46, 50, 52, 56, 60]"
84,80,"[20.0, 10.0, 10.0, 10.0, 20.0, 10.0, 0.0, 20.0, 30.0, 30.0]","[6.0, 5.0, 6.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]","[2.883, 1.894, 4.179, 2.058, 2.065, 1.759, 2.333, 1.696, 2.755, 1.672]","[1.8, 2.691, 0.877, 1.694, 11.657, 0.928, 2.555, 1.4, 1.751, 2.121]","[1, 6, 7, 11, 15, 17, 21, 23, 27, 30, 31, 35, 38, 42, 45, 47, 49, 54, 55, 59]"
85,-80,"[-20.0, -20.0, -80.0, -80.0, -60.0, -60.0, -90.0, -80.0, -100.0, -90.0]","[1.0, 1.0, 9.0, 10.0, 9.0, 10.0, 0.0, 10.0, 1.0, 2.0]","[7.233, 4.65, 9.348, 3.396, 2.397, 2.084, 5.512, 2.062, 3.188, 2.514]","[2.299, 2.032, 3.455, 1.642, 2.544, 1.884, 1.518, 1.728, 2.303, 3.035]","[1, 4, 7, 10, 14, 18, 19, 22, 26, 29, 33, 34, 37, 41, 45, 46, 49, 52, 57, 59]"
85,-50,"[-40.0, -30.0, -40.0, -80.0, -20.0, -60.0, -20.0, -60.0, -40.0, -40.0]","[1.0, 2.0, 3.0, 1.0, 6.0, 9.0, 1.0, 0.0, 1.0, 1.0]","[4.921, 3.861, 2.784, 7.565, 2.531, 3.084, 2.416, 2.867, 3.059, 4.418]","[2.058, 1.818, 2.081, 2.131, 2.224, 1.654, 1.98, 2.611, 1.871, 2.769]","[2, 6, 8, 11, 15, 16, 21, 23, 27, 30, 32, 35, 38, 40, 44, 47, 50, 54, 55, 60]"
85,-20,"[60.0, -20.0, -20.0, -40.0, -40.0, -20.0, -50.0, -20.0, -40.0, -30.0]","[1.0, 4.0, 4.0, 3.0, 5.0, 9.0, 2.0, 7.0, 3.0, 6.0]","[11.174, 4.933, 3.052, 6.361, 2.026, 3.624, 15.53, 2.153, 3.735, 5.257]","[3.236, 1.813, 1.667, 2.198, 1.602, 1.629, 2.618, 1.624, 1.916, 2.969]","[3, 5, 9, 12, 13, 17, 20, 24, 25, 28, 31, 36, 39, 42, 43, 48, 51, 53, 56, 58]"
85,20,"[20.0, 20.0, 100.0, 20.0, 20.0, 0.0, 20.0, 40.0, 20.0, 30.0]","[10.0, 9.0, 0.0, 2.0, 5.0, 9.0, 2.0, 1.0, 1.0, 3.0]","[2.124, 3.258, 4.399, 2.496, 2.874, 5.083, 8.552, 4.37, 5.362, 14.05]","[2.017, 1.726, 2.272, 2.395, 1.885, 2.106, 2.738, 2.277, 2.153, 1.772]","[2, 6, 7, 10, 14, 18, 21, 22, 25, 28, 31, 34, 38, 42, 43, 46, 50, 53, 55, 60]"
85,50,"[40.0, 40.0, 100.0, 80.0, 60.0, 80.0, 60.0, 40.0, 60.0, 90.0]","[5.0, 9.0, 10.0, 8.0, 2.0, 2.0, 1.0, 5.0, 4.0, 3.0]","[3.094, 3.918, 3.723, 2.066, 2.61, 2.83, 4.412, 3.977, 3.765, 6.219]","[4.002, 2.549, 1.968, 1.588, 1.723, 1.78, 1.78, 3.328, 4.419, 2.381]","[3, 5, 8, 11, 13, 16, 19, 23, 27, 30, 33, 35, 37, 40, 45, 48, 51, 54, 56, 58]"
85,80,"[90.0, 100.0, 60.0, 80.0, 80.0, 60.0, 80.0, 60.0, 80.0, 90.0]","[9.0, 5.0, 5.0, 10.0, 9.0, 1.0, 4.0, 4.0, 5.0, 2.0]","[4.053, 2.807, 2.557, 2.747, 2.163, 2.382, 5.084, 6.241, 4.1, 6.949]","[1.669, 2.858, 1.987, 2.357, 2.54, 1.818, 2.228, 1.764, 3.382, 4.061]","[1, 4, 9, 12, 15, 17, 20, 24, 26, 29, 32, 36, 39, 41, 44, 47, 49, 52, 57, 59]"
86,-80,"[-40.0, -90.0, -80.0, -80.0, -80.0, -70.0, -80.0, -80.0, -80.0, -80.0]","[3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 2.0]","[3.567, 4.433, 3.589, 2.878, 2.196, 2.52, 2.513, 2.672, 2.675, 2.879]","[2.713, 2.213, 4.045, 1.452, 2.031, 1.23, 1.306, 1.275, 2.798, 2.064]","[1, 4, 9, 10, 14, 17, 20, 24, 25, 30, 32, 35, 37, 41, 44, 48, 50, 53, 57, 59]"
86,-50,"[-40.0, -20.0, -30.0, -50.0, -50.0, -30.0, -80.0, -50.0, -30.0, -50.0]","[2.0, 3.0, 4.0, 3.0, 5.0, 2.0, 4.0, 4.0, 3.0, 2.0]","[3.22, 5.087, 2.319, 2.947, 2.132, 4.163, 6.834, 2.446, 2.093, 2.544]","[2.336, 1.651, 1.325, 5.797, 1.163, 1.914, 1.388, 1.118, 1.557, 2.09]","[2, 6, 7, 11, 15, 18, 21, 23, 26, 29, 33, 34, 39, 40, 45, 47, 51, 54, 55, 60]"
86,-20,"[-50.0, -30.0, -20.0, -30.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0]","[3.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 3.0, 3.0]","[2.659, 2.218, 4.516, 4.654, 2.297, 2.067, 1.801, 2.81, 2.27, 2.312]","[1.665, 1.652, 1.129, 1.649, 1.52, 1.78, 1.116, 1.87, 1.128, 1.419]","[3, 5, 8, 12, 13, 16, 19, 22, 27, 28, 31, 36, 38, 42, 43, 46, 49, 52, 56, 58]"
86,20,"[20.0, 20.0, 80.0, 20.0, 30.0, 30.0, 20.0, 10.0, 20.0, 10.0]","[3.0, 5.0, 2.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 2.0]","[2.249, 2.336, 2.35, 1.923, 3.448, 2.459, 2.9, 2.755, 2.612, 4.215]","[5.957, 0.823, 2.626, 1.367, 1.298, 1.976, 2.171, 1.021, 1.719, 0.926]","[1, 4, 7, 10, 14, 18, 21, 24, 27, 30, 31, 34, 37, 42, 45, 46, 49, 52, 56, 59]"
86,50,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 60.0, 50.0, 50.0, 50.0]","[3.0, 3.0, 3.0, 5.0, 2.0, 4.0, 3.0, 2.0, 3.0, 2.0]","[2.406, 4.272, 3.543, 2.862, 5.432, 2.527, 2.891, 2.487, 1.955, 2.448]","[1.588, 1.533, 2.136, 3.463, 1.208, 1.681, 2.114, 2.145, 1.268, 1.415]","[2, 5, 8, 11, 15, 16, 19, 23, 25, 28, 33, 36, 39, 40, 44, 48, 50, 53, 55, 58]"
