sub,mean_stim,val,conf,RT_val,RT_conf,trial
239,-80,"[70.0, -90.0, -90.0, -90.0, -90.0, -100.0, -90.0, -90.0, -90.0, -90.0, -80.0]","[5.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 9.0]","[4.849, 3.367, 4.004, 2.0, 2.425, 2.889, 2.212, 2.811, 2.152, 2.903, 4.316]","[2.709, 1.875, 1.803, 2.996, 1.923, 2.151, 1.636, 1.463, 3.345, 1.728, 1.91]","[1, 5, 8, 10, 14, 18, 20, 23, 26, 28, 31, 36, 37, 40, 43, 47, 51, 54, 56, 59]"
239,-50,"[20.0, -30.0, -50.0, -40.0, -60.0, -40.0, -50.0, -50.0, -30.0, -40.0, -30.0]","[2.0, 8.0, 9.0, 8.0, 8.0, 8.0, 7.0, 8.0, 9.0, 9.0, 9.0]","[5.812, 3.705, 3.765, 9.384, 3.285, 5.639, 3.522, 2.545, 2.94, 3.963, 2.161]","[2.242, 1.996, 1.698, 1.337, 4.302, 3.239, 2.506, 1.453, 1.631, 2.001, 1.551]","[3, 4, 9, 11, 13, 17, 21, 24, 27, 29, 32, 34, 39, 41, 45, 46, 50, 52, 55, 58]"
239,-20,"[60.0, -30.0, -30.0, -30.0, -30.0, -40.0, -40.0, -30.0, -40.0, -40.0, -40.0]","[5.0, 8.0, 9.0, 10.0, 10.0, 7.0, 9.0, 6.0, 8.0, 7.0, 9.0]","[4.821, 2.702, 3.322, 4.844, 3.668, 3.823, 2.208, 2.419, 2.66, 2.836, 1.81]","[2.076, 2.084, 2.409, 2.481, 2.427, 1.782, 1.586, 2.161, 2.553, 2.102, 1.523]","[2, 6, 7, 12, 15, 16, 19, 22, 25, 30, 33, 35, 38, 42, 44, 48, 49, 53, 57, 60]"
239,20,"[40.0, 30.0, 30.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 30.0, 20.0]","[5.0, 8.0, 9.0, 9.0, 10.0, 9.0, 7.0, 10.0, 9.0, 8.0, 8.0]","[2.86, 1.933, 2.042, 2.485, 2.932, 2.846, 3.105, 2.933, 3.16, 3.461, 2.757]","[5.813, 2.087, 1.992, 1.313, 1.292, 1.737, 3.11, 3.654, 1.921, 1.765, 2.208]","[1, 6, 9, 12, 13, 18, 19, 24, 27, 30, 32, 35, 39, 41, 44, 47, 49, 52, 55, 59]"
239,50,"[30.0, 60.0, 70.0, 60.0, 60.0, 50.0, 50.0, 60.0, 70.0, 60.0, 60.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 9.0, 8.0]","[4.17, 2.143, 2.172, 1.642, 2.569, 2.763, 2.691, 2.568, 3.661, 3.583, 3.939]","[1.449, 1.743, 1.3, 1.853, 1.249, 0.97, 1.787, 1.389, 2.852, 2.047, 2.507]","[3, 4, 7, 10, 14, 16, 21, 23, 25, 29, 33, 34, 37, 40, 45, 48, 51, 54, 56, 58]"
239,80,"[80.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 80.0, 100.0, 80.0]","[8.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 9.0, 9.0, 9.0]","[3.299, 2.317, 1.894, 1.8, 2.576, 2.151, 3.366, 3.314, 5.057, 3.176, 3.771]","[1.662, 1.436, 1.202, 1.59, 1.55, 1.223, 4.83, 4.047, 2.146, 2.74, 2.913]","[2, 5, 8, 11, 15, 17, 20, 22, 26, 28, 31, 36, 38, 42, 43, 46, 50, 53, 57, 60]"
240,-80,"[-40.0, -60.0, -90.0, -90.0, -70.0, -40.0, -50.0, 0.0, -90.0, 0.0, -90.0]","[7.0, 8.0, 9.0, 7.0, 4.0, 3.0, 6.0, 0.0, 6.0, 5.0, 2.0]","[5.515, 4.788, 6.341, 3.972, 10.025, 4.917, 8.502, 13.79, 5.888, 2.54, 4.342]","[2.46, 2.459, 3.177, 2.928, 2.229, 3.391, 1.962, 2.577, 2.966, 1.762, 1.872]","[2, 5, 9, 11, 15, 17, 21, 23, 25, 28, 31, 34, 38, 42, 44, 47, 50, 54, 57, 59]"
240,-50,"[-10.0, -60.0, -60.0, -60.0, -60.0, -20.0, -50.0, -20.0, -60.0, -90.0, -60.0]","[8.0, 7.0, 10.0, 8.0, 5.0, 5.0, 7.0, 2.0, 6.0, 6.0, 2.0]","[4.738, 5.17, 3.221, 4.58, 3.656, 3.872, 3.122, 4.788, 4.658, 3.288, 3.974]","[8.611, 3.078, 2.362, 2.482, 4.411, 13.881, 2.176, 7.775, 13.206, 3.613, 3.459]","[1, 6, 8, 12, 13, 16, 20, 24, 27, 30, 32, 35, 37, 40, 45, 46, 51, 53, 56, 58]"
240,-20,"[-100.0, 0.0, 0.0, 0.0, -20.0, 0.0, -20.0, 0.0, 0.0, 0.0, 0.0]","[9.0, 10.0, 10.0, 9.0, 5.0, 9.0, 9.0, 0.0, 6.0, 5.0, 4.0]","[4.524, 4.692, 5.615, 6.705, 5.253, 6.058, 3.259, 5.809, 3.237, 2.589, 3.474]","[2.725, 2.722, 2.512, 3.466, 4.156, 3.638, 2.126, 4.186, 4.597, 2.179, 1.864]","[3, 4, 7, 10, 14, 18, 19, 22, 26, 29, 33, 36, 39, 41, 43, 48, 49, 52, 55, 60]"
240,20,"[100.0, 100.0, 0.0, 20.0, 20.0, 100.0, 70.0, 100.0, 100.0, 40.0, 100.0]","[3.0, 6.0, 5.0, 7.0, 6.0, 2.0, 2.0, 3.0, 0.0, 6.0, 1.0]","[3.655, 3.341, 4.492, 5.697, 3.523, 3.523, 5.52, 4.533, 5.992, 8.705, 4.758]","[3.092, 1.82, 1.907, 2.714, 1.818, 2.877, 2.56, 5.56, 5.724, 4.345, 2.161]","[3, 5, 8, 11, 13, 16, 21, 24, 25, 29, 33, 36, 39, 40, 45, 48, 51, 52, 56, 60]"
